epoch,loss,sup,unsup,contra,mask,st_acc,te_acc,best_acc,lr,ema
21,1.4350296488175025,1.1740733996415749,0.08328295212525588,0.17767330111028293,0.19571314102564102,0.460625,0.480125,0.516625,0.0007219937176605934,0.9937565505641757
22,1.4599609588965392,1.194855503546886,0.08312427271635105,0.1819811804840962,0.21634615384615385,0.511,0.477125,0.516625,0.0006904302637408765,0.9940630934270713
23,1.467107362472094,1.1935501442505763,0.08767766409959549,0.1858795536443209,0.22596153846153846,0.501375,0.48275,0.516625,0.000657963412215599,0.9943733338321785
24,1.4612421821325252,1.1860936666146302,0.09952384787492263,0.17562466458632395,0.22435897435897437,0.520125,0.54775,0.54775,0.0006247513383218356,0.9946860474023534
25,1.4284218335763001,1.1487197692577655,0.10478778336292659,0.17491427670495632,0.24619391025641027,0.43725,0.444125,0.54775,0.0005909558479451307,0.995
26,1.4423331373777144,1.1565560797850292,0.11331959661000814,0.17245746036179554,0.2744391025641026,0.429375,0.473875,0.54775,0.0005567415893174885,0.9953139525976465
27,1.470742363196153,1.149769242757406,0.15175898373126984,0.16921413741193903,0.32371794871794873,0.535125,0.4485,0.54775,0.000522275250867738,0.9956266661678215
28,1.4039620069357066,1.123124667467215,0.12273047253107414,0.1581068687582723,0.30088141025641024,0.55,0.4955,0.55,0.00048772474913226217,0.9959369065729287
29,1.4036751909133716,1.1151682703922956,0.10308519655313247,0.18542172754995334,0.2672275641025641,0.544375,0.529875,0.55,0.00045325841068251166,0.9962434494358243
30,1.367050635509002,1.1026508655303564,0.08845636420525037,0.17594340653755727,0.2614182692307692,0.520375,0.524,0.55,0.00041904415205486954,0.9965450849718748
31,1.3330621925684123,1.0774095425238976,0.10034080843130748,0.1553118435713725,0.2724358974358974,0.513125,0.51575,0.55,0.00038524866167816444,0.9968406227634233
32,1.3659775593341925,1.0828372400540571,0.11560879982052705,0.16753152342369923,0.3034855769230769,0.558125,0.51325,0.558125,0.0003520365877844011,0.9971288964578253
33,1.3808157711456983,1.0885040454375439,0.13835792071544206,0.15395381058064792,0.32091346153846156,0.56,0.531125,0.56,0.00031956973625912356,0.9974087683705086
34,1.3638336108281062,1.0777214085444426,0.12726112521993807,0.15885107608464283,0.32111378205128205,0.57375,0.5395,0.57375,0.0002880062823394067,0.9976791339748949
35,1.3610368776015747,1.0641514727702508,0.153942468838814,0.14294293445523065,0.375,0.5355,0.508125,0.57375,0.00025750000000000013,0.9979389262614624
36,1.298764603260236,1.0469932181712909,0.10062472388530389,0.15114666318568665,0.3187099358974359,0.576125,0.537,0.576125,0.0002281995127819804,0.9981871199487434
37,1.2843712858664684,1.0415688585012386,0.09823699505665363,0.14456542794449398,0.33533653846153844,0.57475,0.500625,0.576125,0.00020024756971379914,0.9984227355296434
38,1.3057582760468507,1.0367362804901905,0.12702655648955932,0.14199544097750616,0.35717147435897434,0.563125,0.504625,0.576125,0.00017378034985236518,0.9986448431371071
39,1.313393079317533,1.0341366819846325,0.12348628130096656,0.15577011233052382,0.35596955128205127,0.558625,0.509875,0.576125,0.00014892679883236765,0.998852566213879
